City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
240,Longyearbyen,SJ,2022-05-22 18:37:29,78.2186,15.6401,35.44,87,75,0.0,broken clouds
241,Oranjemund,NA,2022-05-22 18:37:29,-28.55,16.4333,56.1,75,12,9.6,few clouds
242,Veraval,IN,2022-05-22 18:37:30,20.9,70.3667,84.52,72,100,17.83,overcast clouds
243,Nikolskoye,RU,2022-05-22 18:37:30,59.7035,30.7861,51.69,57,7,2.21,clear sky
244,Flinders,AU,2022-05-22 18:37:31,-34.5833,150.8552,55.18,91,100,4.0,light rain
245,Rio Gallegos,AR,2022-05-22 18:37:31,-51.6226,-69.2181,42.85,56,0,13.8,clear sky
246,Georgetown,MY,2022-05-22 18:37:32,5.4112,100.3354,82.33,88,20,0.0,few clouds
247,Dabakala,CI,2022-05-22 18:37:32,8.3667,-4.4333,72.07,94,99,7.09,overcast clouds
248,Mondlo,ZA,2022-05-22 18:37:33,-27.983,30.7177,50.5,91,31,6.11,scattered clouds
249,Tigil,RU,2022-05-22 18:37:33,57.8,158.6667,44.06,73,25,5.7,scattered clouds
250,Sosua,DO,2022-05-22 18:37:34,19.7667,-70.5167,91.38,62,40,16.11,scattered clouds
251,Saint-Georges,GD,2022-05-22 18:37:34,12.0564,-61.7485,85.68,66,20,25.32,few clouds
252,Ifakara,TZ,2022-05-22 18:37:35,-8.1333,36.6833,71.51,75,58,2.28,broken clouds
253,Avarua,CK,2022-05-22 18:37:35,-21.2078,-159.775,78.98,78,12,12.01,light rain
254,Livny,RU,2022-05-22 18:33:00,52.4253,37.6069,44.17,88,98,8.48,overcast clouds
255,Areka,ET,2022-05-22 18:37:36,7.0667,37.7,62.56,82,30,3.42,light rain
256,Carta,RO,2022-05-22 18:37:36,46.5333,25.75,46.58,87,10,3.38,clear sky
257,Novosheshminsk,RU,2022-05-22 18:33:47,55.0651,51.2338,36.73,81,10,4.07,clear sky
258,Sitka,US,2022-05-22 18:37:13,57.0531,-135.33,51.69,76,40,6.91,scattered clouds
259,Ambilobe,MG,2022-05-22 18:37:38,-13.2,49.05,74.61,70,61,4.63,broken clouds
260,Muros,ES,2022-05-22 18:37:38,42.7762,-9.0603,64.09,92,76,8.84,broken clouds
261,Biltine,TD,2022-05-22 18:37:38,14.5333,20.9167,90.86,12,84,10.69,broken clouds
262,Moindou,NC,2022-05-22 18:37:39,-21.6924,165.677,74.91,85,26,5.86,scattered clouds
