City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Sechura,PE,2022-05-22 01:02:35,-5.5569,-80.8222,68.41,75,99,15.3
260,Misratah,LY,2022-05-22 01:02:35,32.3754,15.0925,65.91,49,0,3.71
261,Waingapu,ID,2022-05-22 01:02:36,-9.6567,120.2641,83.8,67,16,12.95
262,Senanga,ZM,2022-05-22 01:02:36,-16.1167,23.2667,48.27,35,7,5.82
263,College,US,2022-05-22 01:02:37,64.8569,-147.8028,76.59,30,100,1.01
264,Cherskiy,RU,2022-05-22 01:02:37,68.75,161.3,57.94,39,15,15.7
265,Adrar,MR,2022-05-22 01:02:38,20.5022,-10.0711,87.51,10,0,2.86
266,Teluknaga,ID,2022-05-22 01:02:38,-6.0989,106.6381,82.63,88,40,2.3
267,Chuy,UY,2022-05-22 01:02:39,-33.6971,-53.4616,52.11,87,100,6.24
268,Nouadhibou,MR,2022-05-22 01:02:39,20.931,-17.0347,65.53,91,86,20.87
269,Watertown,US,2022-05-22 00:57:49,42.3709,-71.1828,77.99,83,12,3.0
270,Pochutla,MX,2022-05-22 01:02:40,15.7432,-96.4661,83.82,64,90,7.76
271,Jacareacanga,BR,2022-05-22 01:02:40,-6.2222,-57.7528,75.18,75,95,1.1
272,Jablanica,BA,2022-05-22 01:02:41,43.6603,17.7617,64.35,93,100,4.94
273,Broken Hill,AU,2022-05-22 01:02:31,-31.95,141.4333,61.29,63,23,12.03
274,San Quintin,MX,2022-05-22 01:02:41,30.4833,-115.95,61.77,67,100,7.54
275,Bonnyville,CA,2022-05-22 00:59:57,54.2668,-110.735,58.8,43,63,6.96
276,Grindavik,IS,2022-05-22 01:03:42,63.8424,-22.4338,43.27,93,0,13.8
277,Changji,CN,2022-05-22 01:03:43,44.0167,87.3167,75.99,25,0,6.71
278,Le Port,RE,2022-05-22 01:03:43,-20.9373,55.2919,71.56,77,3,2.89
279,Sept-Iles,CA,2022-05-22 01:03:44,50.2001,-66.3821,46.92,97,100,2.3
280,Shihezi,CN,2022-05-22 01:03:44,44.3,86.0333,77.81,24,100,5.68
281,Quelimane,MZ,2022-05-22 01:03:45,-17.8786,36.8883,70.7,86,60,7.72
282,Geraldton,AU,2022-05-22 01:03:45,-28.7667,114.6,59.41,88,40,12.66
283,Ossora,RU,2022-05-22 01:03:46,59.2353,163.0719,37.74,96,100,3.85
284,Kasaoka,JP,2022-05-22 01:03:46,34.5,133.5,75.88,59,0,8.52
285,Roald,NO,2022-05-22 01:03:47,62.5833,6.1333,51.33,93,100,6.91
286,Gravdal,NO,2022-05-22 01:03:47,68.1214,13.5031,45.72,87,100,5.44
287,Marzuq,YE,2022-05-22 01:03:48,14.4,46.4667,74.43,27,81,2.73
288,Lagoa,PT,2022-05-22 01:03:07,39.05,-27.9833,62.96,94,100,3.67
289,Abhar,IR,2022-05-22 01:03:48,36.1468,49.218,47.7,48,11,7.72
290,Pulaski,US,2022-05-22 01:03:49,34.7668,-92.3001,84.31,65,75,9.22
291,Kavaratti,IN,2022-05-22 01:03:50,10.5669,72.642,83.28,78,97,18.59
292,Manavalakurichi,IN,2022-05-22 01:03:50,8.1333,77.3,79.07,85,11,13.58
293,Muzhi,RU,2022-05-22 01:03:51,65.3667,64.6667,31.77,80,100,15.43
294,Uyemskiy,RU,2022-05-22 01:03:51,64.4743,40.8524,30.25,68,100,4.47
295,Daman,IN,2022-05-22 01:03:52,20.4167,72.85,82.98,73,100,14.41
296,Inhambane,MZ,2022-05-22 01:03:52,-23.865,35.3833,70.84,91,100,7.23
