City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
409,Yarmouth,US,88.27,clear sky,41.7057,-70.2286,Blue Rock Resort
410,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
414,Cacoal,BR,83.93,clear sky,-11.4386,-61.4472,Hotel BR 364
416,Pipar,IN,88.38,clear sky,26.3856,73.5378,Aadam Mansion
417,Vieux-Habitants,GP,86.72,clear sky,16.0589,-61.7659,Gîtes Dardanelle
419,Sai Buri,TH,78.93,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
429,Innisfail,AU,71.2,overcast clouds,-17.5333,146.0333,Moondarra Motel
434,Kavaratti,IN,83.64,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
435,Kishorganj,BD,79.99,broken clouds,24.4333,90.7667,Kishoreganj Resort
438,Point Pedro,LK,83.3,overcast clouds,9.8167,80.2333,Gtr homes
449,Nuqui,CO,83.1,light rain,5.7125,-77.2708,Hotel Nuquimar
452,Nueva Armenia,HN,86.18,overcast clouds,15.7956,-86.4985,
455,Pirapora,BR,82.67,clear sky,-17.345,-44.9419,Santos Palace Hotel
463,Natal,BR,74.05,overcast clouds,-5.795,-35.2094,Villa Park Hotel | Natal
464,Acari,PE,77.47,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
466,Idenao,CM,77.68,overcast clouds,4.2475,9.0047,Moland Beach Resort
467,Bacolod,PH,78.73,overcast clouds,10.6667,122.95,Planta Hotel & Residences
468,Qui Nhon,VN,79.05,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
469,Sambava,MG,73.6,clear sky,-14.2667,50.1667,Melrose
470,Itarema,BR,81.79,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
474,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
476,Matay,EG,76.17,clear sky,28.419,30.7792,Nag Aespen
480,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
482,Sinjai,ID,75.47,broken clouds,-5.1241,120.253,Wisma Sandika
484,Pangkalanbuun,ID,74.34,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
485,Daru,PG,80.24,scattered clouds,-9.0763,143.2092,Daru Lodge
486,Qurayyat,SA,71.78,sand,31.3318,37.3428,Resorts Kandel
487,Broome,US,85.98,clear sky,42.2506,-75.833,Chenango Valley State Park
491,Pontianak,ID,78.78,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
492,Fernley,US,72.28,clear sky,39.608,-119.2518,Super 8 by Wyndham Fernley
494,Wanning,CN,78.67,overcast clouds,18.8003,110.3967,Paradise Hotel
499,Kulhudhuffushi,MV,83.23,few clouds,6.6221,73.07,Haajy Guest House 1
501,Roma,US,81.73,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
504,San Patricio,US,79.52,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
506,Kanor,IN,83.91,clear sky,24.4333,74.2667,Laxmi lal choudhary
508,Rudbar,AF,74.37,clear sky,30.15,62.6,
511,Calatayud,ES,75.49,broken clouds,41.3535,-1.6432,Globales Castillo de Ayud
513,Amapa,BR,78.98,overcast clouds,1.0,-52.0,
515,Requena,ES,71.53,overcast clouds,39.4883,-1.1004,Hotel Avenida
516,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
517,Gopalpur,IN,84.72,overcast clouds,19.2667,84.9167,Gopalpur Palm Resort
519,Fonte Boa,BR,84.61,few clouds,-2.4959,-66.2662,
522,Morros,BR,84.63,overcast clouds,-9.4467,-46.3003,
524,Witu,KE,80.76,few clouds,-2.3889,40.4382,
525,Hami,CN,80.17,overcast clouds,42.8,93.45,Laoyutang Resort
528,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
536,Port Harcourt,NG,77.02,overcast clouds,4.7774,7.0134,The Riviera Homes Golf Resort
537,Baturite,BR,80.37,scattered clouds,-4.3286,-38.8847,Hotel Padre Cícero
539,Samarai,PG,80.47,scattered clouds,-10.6167,150.6667,Nuli Sapi
544,Bangkal,PH,77.13,light rain,6.0667,121.0667,JB's Resort
546,Le Port,RE,71.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
549,Lazaro Cardenas,MX,83.61,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
550,Mandera,KE,86.94,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
551,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
552,Padang,ID,76.78,broken clouds,-0.9492,100.3543,Mercure Padang
553,Bubaque,GW,78.3,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
557,Manggar,ID,81.64,overcast clouds,-2.8833,108.2667,Guest Hotel
558,Tsiroanomandidy,MG,70.39,overcast clouds,-18.7667,46.0333,Hotel Ravinala
568,Tiruchchendur,IN,81.82,few clouds,8.4833,78.1167,Hotel Udhayam International
569,San Jose,US,81.91,few clouds,37.3394,-121.895,The Westin San Jose
573,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
574,Najran,SA,84.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
576,Namatanai,PG,79.05,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
578,Tiznit,MA,78.08,few clouds,29.5833,-9.5,
579,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
580,Tarakan,ID,77.5,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
585,Conde,BR,80.06,light rain,-7.2597,-34.9075,Pousada Beija Flor
586,Sibolga,ID,76.8,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
587,Srimushnam,IN,84.99,overcast clouds,11.4,79.4167,RAGAVA
